Artist ,ID
Led Zeppelin,spotify:artist:36QJpDe2go2KgaRleHCDTp
Queen,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d
Rush,spotify:artist:2Hkut4rAAyrQxRdof7FVJq
Pink Floyd,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9
AC/DC,spotify:artist:711MCceyCBcFnzjGY4Q7Un
The Beatles,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2
Black Sabbath,spotify:artist:5M52tdBnJaKSvOpJGz8mfZ
The Rolling Stones,spotify:artist:22bE4uQ6baNwSHPVcDxLCe
Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB
Iron Maiden,spotify:artist:6mdiAmATAx73kdxrNrnlao
Deep Purple,spotify:artist:568ZhdwyaiCyOGJRtNYhWf
Guns N' Roses,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC
The Who,spotify:artist:67ea9eGLXYMsO2eYQRui3w
Def Leppard,spotify:artist:6H1RjVyNruCmrBEWRbD0VZ
Van Halen,spotify:artist:2cnMpRsOVqtPMfq7YiFE6K
Kiss,spotify:artist:07XSN3sPlIlB2L2XNcTwJw
Aerosmith,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH
Eagles,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL
Yes,spotify:artist:7AC976RDJzL2asmZuz7qil
Jimi Hendrix,spotify:artist:776Uo845nYHJpNaStv1Ds4
Bob Dylan,spotify:artist:74ASZWbe4lXaubB36ztrGX
Thin Lizzy,spotify:artist:6biWAmrHyiMkX49LkycGqQ
David Bowie,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy
Bon Jovi,spotify:artist:58lV9VcRSjABbAbfWS6skp
U2,spotify:artist:51Blml2LZPmy7TTiAg47vQ
Foo Fighters,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD
Motorhead,spotify:artist:1DFr97A9HnbV3SKTJFu62M
Genesis,spotify:artist:3CkvROUTQ6nRi9yQOcsB50
Judas Priest,spotify:artist:2tRsMl4eGxwoNabM08Dm4I
Nirvana,spotify:artist:6olE6TJLqED3rqDCT0FyPh
Fleetwood Mac,spotify:artist:08GQAI4eElDnROBrJRGE0X
Tool,spotify:artist:2yEwvVSSSUkcLeSTNyHKh8
Bruce Springsteen,spotify:artist:3eqjTLE0HfPfh78zjh6TqT
Slade,spotify:artist:10n5lhNDoSMUHWLlnST1yw
Lynyrd Skynyrd,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0
The Doors,spotify:artist:22WZ7M8sxp5THdruNY3gXt
Creedence Clearwater Revival,spotify:artist:3IYUhFvPQItj6xySrBmZkd
Chicago,spotify:artist:3iDD7bnsjL9J4fO298r0L0
Uriah Heep,spotify:artist:45O9BwPMyywM755SYUK0sP
Status Quo,spotify:artist:4gIdjgLlvgEOz7MexDZzpM
Marillion,spotify:artist:7ai5TWiOG8g9Hds5AATS28
Pearl Jam,spotify:artist:1w5Kfo2jwwIPruYS2UWh56
Rainbow,spotify:artist:6SLAMfhOi7UJI0fMztaK0m
Motley Crue,spotify:artist:0cc6vw3VN8YlIcvr1v7tBL
Cream,spotify:artist:74oJ4qxwOZvX6oSsu1DGnw
Journey,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt
Ramones,spotify:artist:1co4F2pPNH8JjTutZkmgSm
ZZ Top,spotify:artist:2AM4ilv6UzW0uMRuqKtDgN
King Crimson,spotify:artist:7M1FPw29m5FbicYzS2xdpi
Roxy Music,spotify:artist:3fhOTtm0LBJ3Ojn4hIljLo